Name,Description__c,Communities__c,Industries__c,Locations__c,Topics__c,Link__c,Email__c
"Utah Department of Workforce Services","Comprehensive range of services to support job seekers, employers, and individuals with 35,000+ job openings","Late Stage Growth","Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology","Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber","Late Stage Growth","https://jobs.utah.gov/",""
"Weber Basin Job Corps","Offers career training programs including emergency dispatch, carpentry, culinary arts, and electrical work with housing/meals","","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Late Stage Growth","https://weberbasin.jobcorps.gov/",""
"Clearfield Job Corps","Free educational and vocational training programs for young adults aged 16-24 with emphasis on hands-on training","","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Late Stage Growth","https://clearfield.jobcorps.gov/",""
"Talent Ready Utah","Initiative bridging education and industry for workforce development through apprenticeships and career pathways","","All industries","All counties","Late Stage Growth","https://talentready.ushe.edu/",""
"USU Remote Online Initiative","Specialized remote work training to individuals and e-commerce help to rural and agriculture businesses","Rural","All industries","All counties","Late Stage Growth","https://extension.usu.edu/remoteworkcertificate/",""
"Apprenticeship Utah","Earn-while-you-learn opportunities with potential earnings up to $60,000 annually after completion","","All industries","All counties","Late Stage Growth","https://apprenticeship.utah.gov/",""
"Teen Entrepreneur Support Center","Free resources, mentorship, and support to help young entrepreneurs achieve business success","Student","All industries","All counties","Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business","https://teenentrepreneurship.org/",""
"Uinta Basin Tech - Entrepreneur Center","Fosters entrepreneurial leadership through classes, internships, and competitions at USU Uintah Basin","Student","All industries","Carbon|Emery|Grand|San Juan","Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business","https://statewide.usu.edu/uintahbasin/ecenter/","cameron.cuch@usu.edu"
"Brigham Young University (BYU) - Rollins Center","Center offers mentorship, competitions, and Sandbox program for student entrepreneurs","Student","All industries","Summit|Utah|Wasatch","Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business","https://marriott.byu.edu/cet/","cet@byu.edu"
"Salt Lake Community College (SLCC) - The Mill","Place where entrepreneurs come to learn, network, and scale their businesses with incubator support","Student","All industries","Davis|Morgan|Salt Lake|Tooele|Wasatch","Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business","https://themillatslcc.com/","info@themillatmiller.com"
"Snow College - GRIT Center","Fostering innovation and resourcefulness through pitch competitions and seminars for all majors","Student","All industries","Juab|Millard|Piute|Sanpete|Sevier|Wayne","Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business","https://www.snow.edu/offices/grit-center/index.html","snowcollege@snow.edu"
"Utah Valley University (UVU) Entrepreneur Institute","Empowers students to become revenue-generating entrepreneurs by graduation with expert mentors","Student","All industries","Summit|Utah|Wasatch","Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business","https://www.uvu.edu/woodbury/entrepreneurship/","einstitute@uvu.edu"
"Southern Utah University (SUU) - Larry H. & Gail Miller Center","Programs guided by Educate, Experience, and Elevate principles with mentorship and competitions","Student","All industries","Beaver|Garfield|Iron|Kane|Washington","Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business","https://www.suu.edu/business/entrepreneurship/","entrepreneur@suu.edu"
"Utah Tech University - Atwood Innovation Center","Business Resource Center offering complimentary consultations and services for entrepreneurs","Student","All industries","Beaver|Garfield|Iron|Kane|Washington","Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business","https://innovation.utahtech.edu/business-resource-center-at-dsu/","businesshelp@utahtech.edu"
"Utah State University (USU) Jeffrey D. Clark Center","Center provides mentorship, networking, and legal assistance for patents and trademarks","Student","All industries","Box Elder|Cache|Rich","Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business","https://huntsman.usu.edu/ecenter/","entrepreneurship@usu.edu"
"Make Salt Lake","Nonprofit makerspace with 24/7 access to tools including 3D printers and laser cutters","","Consumer Packaged Goods|Manufacturing","Summit|Utah|Wasatch","Entrepreneurship Communities","http://makesaltlake.org","info@makesaltlake.org"
"Portal Warehousing","Co-warehousing with flexible units (250-2,500 sq ft) and short-term, flexible lease terms","","Consumer Packaged Goods","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities","https://www.join-portal.com/location/salt-lake-city",""
"Monarch","Creative hub in renovated 1920s parking garage offering artist studios and community programming","","Arts and Entertainment and Recreation","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities","https://themonarchogden.com/","info@themonarchogden.com"
"Startup Ogden","Collaborative coworking and accelerator via Ogden City partnership with flexible workspace options","","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities","https://startupogden.spaces.nexudus.com/home",""
"Maven CREATE","Workspace within Maven District, home to Salt Lake City's largest community of female-owned small businesses","Women","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities","https://mavencreateslc.com/",""
"Salt Mine","20,000 sq ft facility with coworking, training spaces, and coffee shop for startup community","","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities","https://meetatsaltmine.com/","info@meetatsaltmine.com"
"Workbox","Platform offering flexible coworking spaces, accelerator programs, and venture capital services","","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities","https://www.workboxcompany.com/","info@workboxcompany.com"
"Indie Square","Mission-driven space established 2024 for supporting the state's nonprofit community","","Other","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities|Other","https://www.indiesquare.org/","community@indiesquare.org"
"The Shop","Downtown Salt Lake coworking with flexible workspaces, private offices, and shared desks","","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities","https://shopworkspace.com/location/salt-lake-city/",""
"Work Hive","Coworking in downtown Salt Lake and Sugar House with private offices, conference rooms, flexible membership","","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities","https://workhiveslc.com/","hello@workhiveSLC.com"
"Church and State","Coffee-fueled co-working by day, event venue by night with vaulted ceilings, towering arches, stained glass","","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities","https://www.cs1893.com/",""
"Kiln","Coworking with locations in Utah, Idaho, Colorado offering wellness rooms, podcast studios, event spaces","","All industries","Beaver|Davis|Garfield|Iron|Kane|Morgan|Salt Lake|Summit|Tooele|Utah|Wasatch|Washington|Weber","Entrepreneurship Communities","https://kiln.com","hello@kiln.com"
"Make Utah","Over 50,000 square feet of collaborative work and innovation space for technical startups","","Consumer Packaged Goods|Manufacturing","Summit|Utah|Wasatch","Entrepreneurship Communities","https://makeutah.org/","info@makeutah.org"
"The Hub at Bridgerland Technical College","Resource center providing business coaching, training, and networking opportunities","","All industries","Box Elder|Cache|Rich","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://thehubatbtech.org/","malexander@btech.edu"
"Business Resource Center - Utah Tech University","NO-COST business consultations and services for launching or growing ventures","","All industries","Juab|Millard|Piute|Sanpete|Sevier|Wayne","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://innovation.utahtech.edu/business-resource-center-at-dsu/","businesshelp@utahtech.edu"
"The Mill Entrepreneurship Center","Business incubator helping entrepreneurs learn, network, and scale their businesses","","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://themillatslcc.com/","info@themillatmiller.com"
"Business Resource Center - Davis Tech College","BRC services include business planning, marketing strategies, government contracting, global exporting","","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://brc.davistech.edu/","brc@davistech.edu"
"Vernal Innovation Hub","Coworking with annual Rise & Thrive Business Speed Pitch competition for startups","","All industries","Daggett|Duchesne|Uintah","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.vernalinnovationhub.com/","smillett@vernal.gov"
"Southern Utah University Cedar City Business & Innovation Center","Center offers business planning, marketing, and financing assistance with accelerator programs","","All industries","Beaver|Garfield|Iron|Kane|Washington","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.suu.edu/regional/bic/","brc@suu.edu"
"Atwood Innovation Plaza","Innovation hub providing makerspace, business guidance, and collaborative opportunities","","All industries","Beaver|Garfield|Iron|Kane|Washington","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://innovation.utahtech.edu/","businesshelp@utahtech.edu"
"Utah Valley University Innovation Center/Academy","Hands-on learning environment where students collaborate on real-world projects","","All industries","Summit|Utah|Wasatch","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.uvu.edu/innovation/","bgodoy@uvu.edu"
"Business Technical Assistance Center","Price-based center offers coworking spaces, business incubation services with fiber internet","","All industries","Carbon|Emery|Grand|San Juan","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.btac.business/","info@btac.business"
"Monticello Coworking Space","Professional environment with high-speed Wi-Fi, furnished offices, meeting rooms, privacy booths","","All industries","Carbon|Emery|Grand|San Juan","Entrepreneurship Communities","https://members.monticellocoworking.com/",""
"University of Utah Lassonde Entrepreneurship Institute","Nationally recognized hub for entrepreneurship offering workshops, grants, and competitions","Student","All industries","Davis|Morgan|Salt Lake|Tooele|Weber","Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business","https://lassonde.utah.edu/","lassonde@utah.edu"
"Utah Defense Alliance","Organization supporting military missions, personnel, and installations in Utah","Veteran","Aerospace and Defense","All counties","Entrepreneurship Communities|Late Stage Growth","https://utahdefensealliance.com/home/","kjsullivan51@yahoo.com"
"Escalante City Innovation Center","Furnished offices with dual monitors and laptop docking stations plus flexible rates","","All industries","Beaver|Garfield|Iron|Kane|Washington","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.escalantecity-utah.com/services/escalante-city-innovation-center/","ssteed@escalantecity.com"
"Utah Microloan Fund (UMLF)","Nonprofit CDFI established 1991 providing microloans to entrepreneurs in startup and existing businesses","","All industries","All counties","Funding","https://www.utahmicroloanfund.org/",""
"47G - Utah Aerospace & Defense Association","Organization offering resources through 47G Impact Center to enhance manufacturing processes","Veteran","Aerospace and Defense","All counties","Entrepreneurship Communities|Late Stage Growth","https://www.47g.org/","contact@47g.org"
"Acceler8 Wasatch","Group supporting Innovation and Entrepreneurship in all of Utah initially aerospace/defense focused","Veteran","Aerospace and Defense","All counties","Entrepreneurship Communities|Late Stage Growth","https://www.acceler8wasatch.com/","info@uammi.org"
"Mountain Land Association of Governments' Revolving Loan Fund","RLF providing gap and startup financing to qualified Mountainland region businesses","","All industries","Summit|Utah|Wasatch","Funding","https://www.gohebervalley.com/Revolving-loan/",""
"Revolving Loan Fund Program (RLF) - South Eastern Utah","SEUALG-administered fund providing financial aid to startups not qualifying for traditional financing","","All industries","Carbon|Emery|Grand|San Juan","Funding","https://seualg.utah.gov/index.php/economic-development/revolving-loan-fund-rlf/","cotto@seualg.utah.gov"
"Utah Department of Agriculture & Food","Agency supporting agriculture with programs including International Trade, Farm to School education","Rural","Agriculture","All counties","Entrepreneurship Communities|Funding|Late Stage Growth","https://ag.utah.gov/","agriculture@utah.gov"
"Revolving Loan Fund Program (RLF) - R6","RLF offering loans $20,000 to $250,000 to support new and expanding businesses","","All industries","Juab|Millard|Piute|Sanpete|Sevier|Wayne","Funding","https://r6.utah.gov/edd-board-economic-development-district-board/revolving-loan-fund-rlf/","arosquist@R6.utah.gov"
"Utah Small Business Credit Initiative (USBCI)","Statewide program designed to enhance access to capital for small businesses","","All industries","All counties","Funding","https://business.utah.gov/usbci/","capitalaccess@utah.gov"
"Cynosure","Independent alternatives asset manager and advisor making long-term family/foundation investments","","All industries","All counties","Funding|Late Stage Growth","https://cynosuregroup.com/",""
"Cross Creek","Venture capital firm founded 2006 investing in exceptional venture-backed companies","","All industries","All counties","Funding|Late Stage Growth","https://crosscreek.vc/","info@crosscreek.vc"
"Savory Fund","Private equity firm specializing in restaurant expansion, managing $750 million in assets","","Hospitality and Food Services","All counties","Funding|Late Stage Growth","https://savoryfund.com/","info@savoryfund.com"
"Mercato Partners","Firm founded 2007 managing $1.6 billion in assets across technology, consumer, food/beverage","","All industries","All counties","Funding|Late Stage Growth","https://www.mercatopartners.com/","admin@mercatopartners.com"
"Utah's Own - Local Food Production","Program by agriculture department connecting consumers with local farmers, ranchers, and artisans","Rural","Agriculture","All counties","Entrepreneurship Communities|Late Stage Growth","https://utahsown.org/","utahsown@utah.gov"
"Sorenson Impact Fund","Foundation allocates 100% of its assets to impact investments supporting social entrepreneurs","","All industries","All counties","Funding|Other","https://sorensonimpactfoundation.org/",""
"Renewable Tech Ventures","Venture capital firm investing in energy, clean technology, green materials sectors","","All industries","All counties","Funding|Other","https://www.renewablevc.com/","info@renewablevc.com"
"Pitted Ventures","Growth capital firm founded 2021 offering financial capital plus e-commerce and logistics services","","Consumer Packaged Goods","All counties","Funding","https://pittedventures.com/","inquiries@pittedventures.com"
"BIO Utah","Trade association supporting medical devices, biopharmaceuticals, diagnostics sectors","Veteran","Life Sciences and Healthcare|Software and Information Technology","All counties","Entrepreneurship Communities|Late Stage Growth","https://bioutah.org/","kelvyn@bioutah.org"
"Signal Peak Ventures","Salt Lake venture capital investing in early-stage technology companies across United States","","All industries","All counties","Funding","https://www.spv.com/","info@spv.com"
"Album","Venture firm founded 2014 investing in software, healthcare services, SaaS, life sciences, oncology","","All industries","All counties","Funding","https://www.album.vc/","hello@album.vc"
"Epic Ventures","Firm founded 1994 specializing in SaaS, healthcare, biotech, security, fintech early-stage tech","","All industries","All counties","Funding","https://www.epicvc.com/","info@epicvc.com"
"Convoi Ventures","Pre-seed venture capital founded 2021 focusing on consumer technology, fintech, and SaaS","","All industries","All counties","Funding","https://www.convoiventures.com/","info@convoiventures.com"
"Pelion Ventures","Venture firm founded 1986 specializing in B2B SaaS, fintech, marketplaces, cloud computing, security","","All industries","All counties","Funding","https://pelionvp.com/","info@pelionvp.com"
"Grix","Venture capital firm focusing on pre-seed investments in enterprise software startups","","Software and Information Technology","All counties","Funding","https://www.grix.vc/",""
"BIOHive Utah","Public-private partnership connecting startups, companies, investors, academic institutions","Veteran","Life Sciences and Healthcare","All counties","Entrepreneurship Communities|Late Stage Growth","https://www.biohive.com/",""
"Tandem Ventures","Venture firm in Draper supporting startups in financial software, logistics, business productivity","","All industries","All counties","Funding","https://tandeminvest.com/","team@tandeminvest.com"
"Peterson Ventures","Seed-stage firm providing $250,000 to $1 million funding for SaaS, commerce, fintech, healthtech","","All industries","All counties","Funding","https://www.petersonventures.com/","contact@petersonventures.com"
"Kickstart Fund","Venture firm founded 2008 focusing on B2B SaaS, fintech, healthtech, consumer products","","All industries","All counties","Funding","https://www.kickstartfund.com/","info@kickstartfund.com"
"World Trade Center Utah","Nonprofit connecting Utah companies to global markets through expansion assistance","Veteran","All industries","All counties","Entrepreneurship Communities|Late Stage Growth","https://www.wtcutah.com/","info@wtcutah.com"
"Red Rock Angels","Angel investor group from St. George providing capital, mentorship, and resources","","All industries","All counties","Funding","https://redrockangels.com/","info@redrockangels.com"
"Salt Lake Angels","Angel investment group offering platform for collaborative research and evaluate early-stage companies","","All industries","All counties","Funding","https://slcangels.org/","support@slcangels.org"
"Utah Manufacturers Association","Alliance representing 1,200 manufacturing and service providers with advocacy and training","Veteran","Manufacturing","All counties","Entrepreneurship Communities|Late Stage Growth","https://manufacturingutah.com/","info@manufacturingutah.com"
"Park City Angels","Utah's largest angel group with 85+ investors who have invested $85 million in 1,275+ deals","","All industries","All counties","Funding","https://www.parkcityangels.com/","info@parkcityangels.com"
"RevRoad","Venture services firm founded 2017 accelerating the growth of early-stage startups","","All industries","All counties","Funding","https://www.revroad.com/","info@revroadcapital.com"
"Wildcat MicroFund","Grant program at Weber State awarding up to $3,000 with over $780,000 awarded to 300+ entrepreneurs","","All industries","All counties","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.weber.edu/wildcat-microfund/","wildcatmicrofund@weber.edu"
"Utah MEP","Manufacturing Extension Partnership offering operational assessments, workforce training, technology integration","Veteran","Manufacturing","All counties","Entrepreneurship Communities|Late Stage Growth","https://utah-mep.org/","info@utah-MEP.org"
"iHub","Innovation Hub of Utah County established 2023 serving as central resource center for early-stage startups","Student","All industries","Utah","Entrepreneurship Communities|Funding|Start a Business","https://www.ihubutah.org/",""
"iMpact Utah","Nonprofit offering operations optimization, leadership development, automation, cybersecurity consulting","Veteran","Manufacturing","All counties","Entrepreneurship Communities|Late Stage Growth","https://www.impactutah.org/","info@impactutah.org"
"Get Started: Business Idea Challenge","Milestone grant program offering up to $500 in non-equity funding for idea validation","Multiple communities","All industries","All counties","Funding|Start a Business","https://startup.utah.gov/get-started/","startup@utah.gov"
"Silicon Slopes","Nonprofit providing resources, events, and networking opportunities for startups","Veteran","Software and Information Technology","All counties","Entrepreneurship Communities|Late Stage Growth","https://www.siliconslopes.com/",""
"EVENT: Utah Tech Week","Community-driven celebration fostering happy collisions that lead to friendships, partnerships, business deals","","All industries","All counties","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.utahtechweek.com/",""
"EVENT: Mountain West Capital Network","Business networking organization hosting Utah 100 Awards and Deal Flow Report events","","All industries","All counties","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://www.mwcn.org/","info@mwcn.org"
"Women Tech Counsel","National organization serving 10,000 professionals with mentoring and women tech awards","Women","Software and Information Technology","All counties","Entrepreneurship Communities|Late Stage Growth","https://www.womentechcouncil.com/","info@womentechcouncil.org"
"EVENT: Business Forward","Premier conference for executives with insights on acquisitions, AI, branding, entrepreneurship, people & culture","","All industries","Beaver|Garfield|Iron|Kane|Washington","Entrepreneurship Communities|Start a Business|Funding|Marketing and Sales","https://forward.utahbusiness.com/",""
"Small Business Administration (SBA)","Federal agency providing business financing, disaster assistance, government contracting support","Multiple communities","All industries","All counties","Funding|Late Stage Growth|Start a Business","https://www.sba.gov/","answerdesk@sba.gov"
