Name,Website__c,EmployeeCount__c,Sector__c,Stage__c,LinkedIn__c,Description__c,Address__c,City__c,County__c,HiringStatus__c,YearFounded__c,Latitude__c,Longitude__c
Alcomy,https://alcomy.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/alcomy,Digital system for assisted living,"815 West 1250 South, Orem, UT",Orem,Utah,Actively Hiring,,40.308054,-111.751599
alphaMountain,https://www.alphamountain.ai,2-10,Security,Seed,https://www.linkedin.com/company/alphamountain,Next-gen cybersecurity products,"1557 West Innovation Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.278902,-111.727815
Altitude AI,https://www.altitudeai.ai,2-10,B2B Software,Seed,https://www.linkedin.com/company/altitude-ai,Industrial robotics via Altitude OS,"215 South State Street, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.779718,-111.869796
Alysio,https://www.alysio.ai,2-10,B2B Software,Seed,https://www.linkedin.com/company/alysio,People performance management for sales,"1637 East Harrison Avenue, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.792174,-111.940567
Bracket Labs,https://www.bracket.fi,2-10,FinTech,Seed,https://www.linkedin.com/company/bracket-labs,Liquid Staked DeFi. Backed By Binance Labs.,"2901 West Bluegrass Boulevard, Lehi, UT",Lehi,Utah,Actively Hiring,,40.290654,-111.751024
Crew,https://www.trycrew.com,2-10,FinTech,Seed,https://www.linkedin.com/company/trycrew,Neobank for families / financial literacy,"2000 Ashton Boulevard, Lehi, UT",Lehi,Utah,Actively Hiring,,40.274391,-111.693957
Data Quality Co-Op,https://www.dataqualityco-op.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/data-quality-co-op,Ensures business decisions informed by high-quality data,"Salt Lake City, UT",,Salt Lake,Actively Hiring,,40.722923,-111.927139
DeepPower,https://www.deeppower.com,2-10,Energy,Series A,https://www.linkedin.com/company/deeppowerinc,Breakthrough geothermal drilling technology,"1633 West Innovation Way, Lehi, UT",Lehi,Utah,Actively Hiring,,40.308891,-111.689207
Domus Diagnostics,https://www.domusdx.com,2-10,Bio/Medical Tech,Seed,https://www.linkedin.com/company/domusdx,Affordable infectious disease diagnostic tests,"1445 Settlement Drive, Park City, UT",Park City,Summit,Actively Hiring,,40.838735,-110.988388
Dónde,https://www.godonde.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/donde,Travel-as-a-benefit for companies,"26 Rio Grand Street, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.785554,-111.95022
Dorai,https://www.doraihome.com,2-10,Consumer,Seed,https://www.linkedin.com/company/dorai-home,Home products preventing bacteria/moisture,"1171 West 2400 South, West Valley City, UT",West Valley City,Salt Lake,Actively Hiring,,40.785266,-111.867223
dree,https://www.dree.com,2-10,Consumer,Seed,https://www.linkedin.com/company/joindree,Find a LaundryPro in your area in 60 seconds,"139 Hunter's Grove Lane, Lehi, UT",Lehi,Utah,Actively Hiring,,40.28412,-111.735942
Driven,https://pestiq.webflow.io,2-10,B2B Software,Seed,https://www.linkedin.com/company/bemoredriven,Performance improvement for pest control industry,"1355 South 960 East, Heber City, UT",Heber City,Wasatch,Actively Hiring,,40.501777,-111.303109
EagleCorps,https://www.eaglecorps.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/eaglecorps,Addressing veteran underemployment crisis,"350 East 400 South, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.72822,-111.939394
Ednition,https://www.ednition.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/ednition,Rostering infrastructure and automation platform,"18 West 1900 South, Kaysville, UT",Kaysville,Davis,Actively Hiring,,41.0216,-111.877553
Errand,https://www.goerrand.com,2-10,Consumer,Seed,https://www.linkedin.com/company/goerrand,On-demand customizable errand running service,"815 West 1250 South, Orem, UT",Orem,Utah,Actively Hiring,,40.32147,-111.667032
Funner,https://www.funner.com,2-10,Consumer,Seed,https://www.linkedin.com/company/funner,Students discover others with shared interests,,,Salt Lake,Actively Hiring,,40.763698,-111.834226
Giddy,https://www.giddy.co,2-10,FinTech,Series A,https://www.linkedin.com/company/giddydefi,Self-custody mobile crypto wallet,"13894 South Bangerter Parkway, Draper, UT",Draper,Salt Lake,Actively Hiring,,40.751083,-111.884755
Inherent Biosciences,https://www.inherentbio.com,2-10,Bio/Medical Tech,Series A,https://www.linkedin.com/company/inherent-biosciences-inc,Pioneering epigenetic medicine for complex diseases,"26 South Rio Grande Street, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.787152,-111.876778
Jipe,https://www.jipejobs.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/jipejobs,Connects entry-level job seekers with local businesses,"1053 Blackstone Drive, Fruit Heights, UT",Fruit Heights,Davis,Actively Hiring,,41.022737,-111.880718
Veras,https://www.jobwise.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/jobwise-recruiting,AI workforce optimizer for long-term care,"3400 North Ashton Boulevard, Lehi, UT",Lehi,Utah,Actively Hiring,,40.313266,-111.749101
KetoNatural Pet Foods,https://www.ketonaturalpetfoods.com,2-10,Consumer,Seed,https://www.linkedin.com/company/ketonatural-pet-foods,Educating and empowering pet owners,"181 E Edith Ave, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.739032,-111.916273
Kolla,https://www.getkolla.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/getkolla,Centralized operations for DSOs,"276 East 12200 South, Draper, UT",Draper,Salt Lake,Actively Hiring,,40.727183,-111.923065
Krado,https://www.krado.co,2-10,Consumer,Seed,https://www.linkedin.com/company/kradoinc,Integrative plantcare system via real-time data,"2223 South Highland Drive, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.72888,-111.917643
Leash Bio,https://www.leash.bio,2-10,Bio/Medical Tech,Seed,https://www.linkedin.com/company/leash-laboratories,High-quality ML datasets for drug discovery,"48 South Rio Grande Street, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.771655,-111.90722
Leeway,https://www.leewayhq.com,2-10,B2B Software,Seed,https://www.linkedin.com/company/leewayhq,Modern benefits administration (ICHRA),"1920 Blaine Avenue, Salt Lake City, UT",Salt Lake City,Salt Lake,Actively Hiring,,40.750414,-111.925859
